Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
04-03-2024,28.7,82,0,7.3,1,C 
05-03-2024,28.6,83,0,3.8,2,C 
06-03-2024,29,84,0.2,7.2,1,C 
07-03-2024,29,86,0.6,6,2,NW
08-03-2024,28.3,86,0.6,3.4,2,C 
09-03-2024,25.4,92,7.9,5,3,W 
10-03-2024,27.5,86,10.2,0,2,NW
11-03-2024,27.7,87,8888,0,2,NW
12-03-2024,27.2,88,37.6,0,3,NW
13-03-2024,26.9,91,25.9,0,2,W 
14-03-2024,26.4,89,25.6,0.1,3,W 
15-03-2024,26.6,89,18.1,0.9,3,W 
16-03-2024,27.5,86,3.3,0.6,4,NW
17-03-2024,26.7,89,12.9,2.3,4,NW
18-03-2024,27,89,30.6,0,2,NW
19-03-2024,27.9,84,8888,2,3,W 
20-03-2024,28.5,83,0,7.4,2,NW
21-03-2024,27.1,88,,8.9,2,W 
22-03-2024,28.6,83,16.6,4,2,SW
23-03-2024,28.9,82,0,8.4,2,E 
24-03-2024,29,82,,7.2,2,E 
25-03-2024,29,80,0,8.5,1,C 
26-03-2024,28.8,81,,8.2,2,E 
27-03-2024,28.9,77,8888,7,1,C 
28-03-2024,27.7,84,7.8,9.1,2,C 
29-03-2024,28.6,83,,5.1,1,C 
30-03-2024,29.5,80,0,8.1,2,NE
31-03-2024,29.3,79,8888,8.6,2,SW
01-04-2024,28.8,81,0,8.3,1,C 
02-04-2024,28.3,85,0,7.3,2,C 
03-04-2024,29.5,80,2,5.8,1,C 
04-04-2024,29.4,78,0.5,9,2,C 
05-04-2024,29.3,81,34,7.3,2,E 
06-04-2024,28.8,83,8888,3.5,2,SW
07-04-2024,28.8,82,0,7.1,1,C 
08-04-2024,29.4,80,4.6,5.6,1,C 
09-04-2024,28.1,86,1.4,6.1,1,W 
10-04-2024,27.8,87,,0.8,2,E 
11-04-2024,27.5,90,125,2.3,1,C 
12-04-2024,28.4,82,8888,3.6,1,C 
13-04-2024,28.9,84,0,8.8,1,C 
14-04-2024,29,82,1.2,6.9,2,E 
15-04-2024,29.4,80,8.5,9.5,3,E 
16-04-2024,29.5,78,0,9.4,2,SW
17-04-2024,27.3,88,0,9.3,2,C 
18-04-2024,27.9,87,20,1.6,1,C 
19-04-2024,28,88,33.3,3.2,0,C 
20-04-2024,29.2,82,,4,2,SW
21-04-2024,28.3,86,0,9.5,2,SW
22-04-2024,28.9,82,1,4.5,1,C 
23-04-2024,28.4,85,8888,2,1,C 
24-04-2024,28.7,85,2.2,4.9,1,E 
25-04-2024,25.6,97,8888,3.4,1,C 
26-04-2024,29.1,84,26.6,0,2,E 
27-04-2024,29.5,82,0,9.4,2,C 
28-04-2024,28.9,85,1,8.7,1,C 
29-04-2024,29.2,81,8.7,6.1,1,C 
30-04-2024,29,81,1,9.1,2,E 
