"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"04-03-2024","29.8","80","8.8","2","2","SW"
"05-03-2024","30.9","76","8888","6.3","2","W "
"06-03-2024","30.6","79","8888","7.8","3","W "
"07-03-2024","31.2","76","8888","6.7","4","W "
"08-03-2024","29.1","85","","5.7","3","SW"
"09-03-2024","25.4","94","4.8","0","2","W "
"10-03-2024","27.4","92","10.3","0","1","C "
"11-03-2024","28.1","93","40.7","0","2","NW"
"12-03-2024","29.3","89","0.2","0","3","SW"
"13-03-2024","28.9","82","13.5","3.6","2","NW"
"14-03-2024","27.4","91","2.2","1.1","1","C "
"15-03-2024","27","90","17.4","0","2","W "
"16-03-2024","26","93","11.2","0","1","W "
"17-03-2024","27","90","12.9","0.8","2","SW"
"18-03-2024","29.7","82","1.9","1.9","2","W "
"19-03-2024","31.1","69","","6.8","3","W "
"20-03-2024","31.4","62","","10.7","3","W "
"21-03-2024","30.2","71","","10.8","3","NW"
"22-03-2024","26","92","64.5","11.1","1","C "
"23-03-2024","30.6","72","56.2","0","1","NE"
"24-03-2024","31","77","8.8","6.8","2","NE"
"25-03-2024","29.4","81","2.8","6.6","1","C "
"26-03-2024","29.2","79","6","3.9","1","C "
"27-03-2024","28.7","83","19","3.7","1","NW"
"28-03-2024","28.3","85","","0","1","C "
"29-03-2024","29.1","83","45","4.4","1","C "
"30-03-2024","29.2","84","17.3","3.8","2","C "
"31-03-2024","30.4","78","18","5.1","1","E "
"01-04-2024","28.8","82","0.4","6.3","1","C "
"02-04-2024","29.7","83","11","3.7","1","C "
"03-04-2024","28.8","86","5","0.9","1","C "
"04-04-2024","29.9","83","37.3","2.7","0","C "
"05-04-2024","28.5","88","8888","4.4","1","C "
"06-04-2024","30.2","82","14.3","1.1","1","W "
"07-04-2024","31.6","77","","3","1","C "
"08-04-2024","31.2","76","","7.4","1","C "
"09-04-2024","29.1","84","","4.8","1","C "
"10-04-2024","30.1","80","42.6","0.9","1","NE"
"11-04-2024","30.3","81","43","5.1","2","NE"
"12-04-2024","27.6","90","45","4.1","1","C "
"13-04-2024","31","79","18.8","1","1","C "
"14-04-2024","29.9","84","10.6","2.8","1","S "
"15-04-2024","29.8","81","7.3","5.1","2","NE"
