Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
15-03-2024,24.4,84,39.5,0,2,W 
16-03-2024,24.2,87,10.5,5,2,NW
17-03-2024,24.8,84,,6.5,2,W 
18-03-2024,24.5,82,0.5,5.7,2,SW
19-03-2024,25.4,70,,8.1,2,W 
20-03-2024,25.1,82,,9.7,1,N 
21-03-2024,24.3,84,10.5,9.3,1,N 
22-03-2024,24.8,85,,6.4,1,W 
23-03-2024,25.5,78,,3.4,1,W 
24-03-2024,25.4,80,,8.2,1,SW
25-03-2024,25,84,0.5,8.2,1,E 
26-03-2024,25,86,20,5.3,1,C 
27-03-2024,25.2,83,,5.8,1,W 
28-03-2024,23.3,91,,5.7,1,NW
29-03-2024,24.4,88,51.5,1,1,W 
30-03-2024,25.9,80,2.5,5,1,W 
31-03-2024,25.8,86,,7.6,1,SW
01-04-2024,24.2,92,47,8,1,W 
02-04-2024,24.5,88,13,3.2,1,W 
03-04-2024,25.6,84,5.5,5.5,1,S 
04-04-2024,25.9,87,,6.7,1,N 
05-04-2024,26.3,85,1.3,5.5,1,N 
06-04-2024,25.5,81,0,4.5,1,E 
07-04-2024,24.7,84,,6.7,1,NW
08-04-2024,25,89,1,3.2,1,S 
09-04-2024,24.2,84,0,1.9,1,NW
10-04-2024,25,82,11,0.3,0,C 
11-04-2024,23.1,91,0,6.5,1,W 
12-04-2024,23.7,88,51,0,1,SW
13-04-2024,24.5,90,38.6,5,1,W 
14-04-2024,24.5,91,17.5,8,1,C 
15-04-2024,24.9,88,7.5,4.2,1,SW
16-04-2024,26.1,77,,9,1,S 
17-04-2024,24.1,89,,9.3,1,W 
18-04-2024,24.4,88,8.5,4.2,1,W 
19-04-2024,25.2,84,13,6.1,1,W 
20-04-2024,25.8,84,1.5,9,2,SW
21-04-2024,23.3,92,0.5,9.8,1,S 
22-04-2024,25.5,86,60.5,2.8,1,W 
23-04-2024,24.1,87,1,4.7,1,SW
24-04-2024,24.6,88,12.4,3.1,1,SW
25-04-2024,23.8,93,,,1,E 
26-04-2024,25.5,82,,,2,E 
27-04-2024,25.5,81,,8.3,1,SE
28-04-2024,25,86,0,10.2,1,SW
29-04-2024,25.8,86,0,4.5,1,W 
30-04-2024,25.6,82,,7.7,1,SW
