Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
09-03-2024,24.8,88,10.3,4.2,1,C 
10-03-2024,23.7,86,47.5,0,1,C 
11-03-2024,25.8,80,0.3,0,2,E 
12-03-2024,26.3,72,0.3,0,2,W 
13-03-2024,25.6,76,0.1,1.2,2,E 
14-03-2024,25.5,78,0.8,1.1,3,W 
15-03-2024,26.7,73,9.2,2.3,2,C 
16-03-2024,26,79,8,6.8,2,S 
17-03-2024,26.7,75,0.4,5.9,2,SE
18-03-2024,27.2,68,0.2,6.8,1,C 
19-03-2024,27,72,,6,2,E 
20-03-2024,27.2,70,0,8.5,2,E 
21-03-2024,25.6,79,1,10.2,2,SE
22-03-2024,25.5,83,3.6,3.7,1,C 
23-03-2024,27.1,73,0.9,3.9,2,S 
24-03-2024,26.1,78,8888,8.5,1,C 
25-03-2024,26.4,75,21.5,6.3,1,C 
26-03-2024,24.9,81,0,5.4,1,C 
27-03-2024,26.2,74,8.3,4,2,SW
28-03-2024,25.1,83,0.1,5.5,1,C 
29-03-2024,25.6,82,3.1,4.9,1,C 
30-03-2024,26.9,78,35.1,5.2,2,S 
31-03-2024,26.6,80,15.8,9.3,2,S 
01-04-2024,25,87,18.4,6.2,1,C 
02-04-2024,25,88,78,2.5,0,C 
03-04-2024,27.1,75,34,3.1,1,S 
04-04-2024,27.3,74,0,6.7,2,S 
05-04-2024,26.9,77,0,8.2,1,C 
06-04-2024,27.4,72,8888,5.2,2,S 
07-04-2024,26.6,76,,7.3,2,E 
08-04-2024,26.6,79,0.6,8,2,C 
09-04-2024,24.9,87,88.6,5.4,2,E 
10-04-2024,25.7,82,10.5,0.2,2,C 
11-04-2024,24.8,86,0.4,5.2,1,C 
12-04-2024,26.5,79,34.8,0.4,1,C 
13-04-2024,27.1,75,0.8,,3,E 
14-04-2024,26.7,78,0,9,2,C 
15-04-2024,27.3,76,0,7.9,2,C 
16-04-2024,26.9,75,0,9.4,2,SW
17-04-2024,24.7,88,0.2,6.8,1,C 
18-04-2024,25.5,81,7.5,,2,SW
19-04-2024,26.8,77,0,5,2,E 
20-04-2024,26.7,77,0,8,2,C 
21-04-2024,25.9,83,2.8,7.8,1,C 
22-04-2024,26.3,80,1.5,3.8,2,SW
23-04-2024,26.1,84,,4.4,2,C 
24-04-2024,26.2,83,20.8,3.8,1,C 
25-04-2024,25.6,83,,3.4,2,E 
26-04-2024,27,75,1.2,1.5,3,E 
27-04-2024,27.6,68,0,7.9,3,E 
28-04-2024,27.6,74,0,9.8,2,C 
29-04-2024,27.3,76,,8.2,2,S 
30-04-2024,26.7,76,0,6.4,2,S 
