"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"03-03-2024","27.9","88","23.3","4.6","1","C "
"04-03-2024","28.1","87","0.1","4.5","0","C "
"05-03-2024","27.5","86","2","5.4","1","C "
"06-03-2024","27.6","89","32","5.8","1","C "
"07-03-2024","28.2","90","21.5","5.4","0","C "
"08-03-2024","28.2","88","0.3","4","0","C "
"09-03-2024","25.7","93","8888","2.3","0","C "
"10-03-2024","26.3","92","19.6","0","0","C "
"11-03-2024","26.8","91","29.9","0","1","C "
"12-03-2024","27","89","9.2","0.7","1","C "
"13-03-2024","26.5","91","0.4","1.6","2","W "
"14-03-2024","25.7","93","28.6","0.3","1","C "
"15-03-2024","26.7","87","13.5","0.7","1","C "
"16-03-2024","27.3","85","1.5","1.1","1","C "
"17-03-2024","26.8","86","0.5","7","1","C "
"18-03-2024","27.8","84","8888","3.4","1","C "
"19-03-2024","29.5","80","0","5.7","1","C "
"20-03-2024","29.8","79","0","9.4","1","C "
"21-03-2024","29","81","0.2","9.1","1","C "
"22-03-2024","28.6","83","0","7.9","1","C "
"23-03-2024","29.2","83","0","5.4","1","C "
"24-03-2024","29.6","82","0.8","5.9","0","C "
"25-03-2024","29.1","81","0","7.4","1","C "
"26-03-2024","29.5","80","0","6.5","1","C "
"27-03-2024","27.2","88","0","7.7","1","C "
"28-03-2024","26.7","88","2","4.7","0","C "
"29-03-2024","28","86","30","4.7","0","C "
"30-03-2024","28.6","85","4.5","5.7","0","C "
"31-03-2024","27.9","85","8888","6.4","0","C "
"01-04-2024","28.3","84","5.8","5","1","C "
"02-04-2024","29.5","83","2","5.7","0","C "
"03-04-2024","28.1","89","5.2","5.3","1","C "
"04-04-2024","28.6","86","52","3.4","1","C "
"05-04-2024","31","76","1.4","4.8","1","NW"
"06-04-2024","29","83","0","6.5","1","C "
"07-04-2024","29.2","80","22","4.7","1","C "
"08-04-2024","29.1","82","5.8","8.2","1","C "
"09-04-2024","27","91","87.7","8.2","1","C "
"10-04-2024","28.5","83","13.5","0","0","C "
"11-04-2024","29.2","82","0","5.4","0","C "
"12-04-2024","27.4","90","8","7.4","0","C "
"13-04-2024","29.7","81","9","2.2","0","C "
"14-04-2024","28.8","85","0","8.7","0","C "
"15-04-2024","29.1","84","1.9","4.4","1","C "
"16-04-2024","29.7","80","0","4.4","1","C "
"17-04-2024","28.8","85","0","8.2","1","C "
"18-04-2024","27.8","87","6","5.4","1","C "
"19-04-2024","28.7","86","94","4.8","0","C "
"20-04-2024","29.6","82","0","3.5","0","C "
"21-04-2024","27.7","86","0","4.4","1","C "
"22-04-2024","30","82","6","3.7","0","C "
"23-04-2024","28.5","87","0","8.1","1","C "
"24-04-2024","29.6","84","8888","4.1","0","C "
"25-04-2024","29.3","83","0","5.4","1","C "
"26-04-2024","29.7","81","8888","6.3","1","C "
"27-04-2024","29.5","81","0.4","7.4","1","C "
"28-04-2024","29.3","82","4.5","5.5","0","C "
"29-04-2024","29.8","83","18.3","7.9","0","C "
"30-04-2024","30","80","0","6.3","1","C "
