"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"17-03-2024","28.6","77","0","","3","NW"
"18-03-2024","28.8","82","0","","2","NW"
"19-03-2024","30.5","77","0.4","","4","N "
"20-03-2024","31.1","72","0.2","","5","NE"
"21-03-2024","30.2","73","1","","3","W "
"22-03-2024","29.1","81","0","","3","SW"
"23-03-2024","31.2","73","0","","3","E "
"24-03-2024","31.3","72","8888","","2","NE"
"25-03-2024","30.9","73","0.2","","2","C "
"26-03-2024","31.2","70","0","","3","E "
"27-03-2024","30.5","69","0","","3","SE"
"28-03-2024","29.2","79","0","","4","NE"
"29-03-2024","30.1","74","0.2","","5","E "
"30-03-2024","30.9","73","0","","5","NE"
"31-03-2024","31.4","70","0.2","","3","S "
"01-04-2024","30.3","76","8888","","2","NE"
"02-04-2024","31.8","71","8888","","3","E "
"03-04-2024","31.2","76","37.3","","2","E "
"04-04-2024","31.5","73","0","","2","E "
"05-04-2024","30.6","78","0","","1","C "
"06-04-2024","29.4","84","0.7","","1","SW"
"07-04-2024","31.1","71","13","","2","C "
"08-04-2024","30.6","75","0.6","","3","E "
"09-04-2024","27.6","88","3","","2","SE"
"10-04-2024","30.6","74","1.7","","2","E "
"11-04-2024","30.6","76","0","","2","E "
"12-04-2024","28.6","85","0","","2","E "
"13-04-2024","31.4","71","4.6","","2","C "
"14-04-2024","30.4","75","0","","2","E "
"15-04-2024","30.3","77","0","","2","NE"
"16-04-2024","31.1","72","0","","3","E "
"17-04-2024","30.8","70","0","","3","S "
"18-04-2024","29.5","76","8888","","2","E "
"19-04-2024","29.2","78","25.7","","2","SE"
"20-04-2024","30.9","73","8888","","2","E "
"21-04-2024","31.2","73","3.4","","3","N "
"22-04-2024","31.2","74","0","","3","E "
"23-04-2024","29.8","78","0","","1","C "
"24-04-2024","30.9","75","0","","2","E "
"25-04-2024","30.4","78","0","","4","E "
"26-04-2024","30.2","76","1","","3","E "
"27-04-2024","30.5","76","2","","3","SE"
"28-04-2024","31.8","73","32","","3","E "
"29-04-2024","31.5","73","0","","3","NE"
"30-04-2024","30.9","72","0.1","","3","E "
