"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"03-03-2024","27.8","87","36.7","1.1","1","C "
"04-03-2024","28.5","82","7.9","5.8","1","SW"
"05-03-2024","28.5","86","1.2","5.8","2","W "
"06-03-2024","28.3","84","1","6.5","2","W "
"07-03-2024","28.6","82","1","6.3","3","W "
"08-03-2024","28.4","80","1.3","5.2","3","W "
"09-03-2024","25.5","95","0.5","1.2","1","C "
"10-03-2024","28.3","90","28.4","0","1","C "
"11-03-2024","27.9","85","1.3","2.6","2","NW"
"12-03-2024","28.3","84","1.6","0.1","1","C "
"13-03-2024","28.6","84","16.2","1.7","2","NW"
"14-03-2024","27.3","86","1.9","2","1","C "
"15-03-2024","26.8","90","15.6","0.3","1","C "
"16-03-2024","25.8","94","7.3","1.3","1","W "
"17-03-2024","27","87","43.4","0.2","2","SW"
"18-03-2024","28.2","81","2.2","1.3","2","SW"
"19-03-2024","28.8","75","12.4","8","2","C "
"20-03-2024","28.6","72","0","9.3","2","C "
"21-03-2024","29.1","83","0","10","1","C "
"22-03-2024","27","89","42.5","10","1","C "
"23-03-2024","29.2","78","0","0.7","1","C "
"24-03-2024","29.1","82","0","10","1","C "
"25-03-2024","28.1","86","41.7","8.3","1","C "
"26-03-2024","28.6","83","0.8","5.2","1","C "
"27-03-2024","27.7","87","23.5","4.1","1","C "
"28-03-2024","27.8","84","1.5","2.8","1","C "
"29-03-2024","28.7","82","20.2","6.1","1","C "
"30-03-2024","29.4","84","0","7.4","1","C "
"31-03-2024","28.7","89","0","8.2","1","C "
"01-04-2024","28.1","84","18","2.1","1","C "
"02-04-2024","28.9","86","8888","4.7","1","C "
"03-04-2024","27.5","90","8888","1.8","1","C "
"04-04-2024","29.3","82","11.3","2.6","1","C "
"05-04-2024","30.2","79","0","7.8","1","C "
"06-04-2024","28.6","81","0","4.5","2","C "
"07-04-2024","28.9","78","0","2.5","1","C "
"08-04-2024","29.1","78","0.8","5.7","1","C "
"09-04-2024","28.7","82","0","7.2","0","C "
"10-04-2024","29.4","76","5.4","3.8","1","C "
"11-04-2024","28.6","84","0.1","8.8","1","C "
"12-04-2024","26.8","89","0.2","0.3","0","C "
"13-04-2024","29.3","82","51","3.1","1","C "
"14-04-2024","28.6","82","0.6","8.8","1","C "
"15-04-2024","28.8","86","","5.2","1","C "
"16-04-2024","29.7","83","","6","1","C "
"17-04-2024","28.4","85","6.5","8.7","1","C "
"18-04-2024","28.7","83","26.2","7.8","1","C "
"19-04-2024","28.5","82","0.9","9.4","1","C "
"20-04-2024","29","84","0.8","3.4","1","C "
"21-04-2024","28.2","86","3.4","7.3","0","C "
"22-04-2024","29.8","80","0.5","3.7","1","C "
"23-04-2024","28.7","84","0","10.2","1","C "
"24-04-2024","29","84","0.7","5","1","C "
"25-04-2024","27.8","89","","4","1","C "
"26-04-2024","27.8","89","14.5","0.5","1","C "
"27-04-2024","27.1","91","17.5","6.1","1","C "
"28-04-2024","29.5","83","5.3","3.3","1","C "
"29-04-2024","30","82","0","4.9","1","C "
"30-04-2024","29.4","85","8888","8.9","1","C "
