"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"03-03-2024","24.6","80","4.8","5","1","C "
"04-03-2024","24.7","81","0.2","2.8","0","C "
"05-03-2024","24.7","85","4.8","3.2","1","C "
"06-03-2024","24.5","88","11.1","3.7","0","C "
"07-03-2024","24.6","85","20.2","4.1","0","C "
"08-03-2024","25.1","76","1.3","1.4","2","W "
"09-03-2024","22.6","84","5.2","4","1","C "
"10-03-2024","24.5","80","2.9","0","0","C "
"11-03-2024","24.1","81","0.4","0.5","2","SW"
"12-03-2024","24.4","74","9","1.2","2","SW"
"13-03-2024","23.8","83","0.3","6.3","1","C "
"14-03-2024","22.3","88","4.9","6","1","C "
"15-03-2024","23.2","81","26.7","0.3","1","C "
"16-03-2024","23.7","80","11.1","0.4","1","C "
"17-03-2024","23","82","3.2","4.7","1","C "
"18-03-2024","24.9","71","4.2","1.6","2","W "
"19-03-2024","25.5","59","0","7.9","1","C "
"20-03-2024","25.7","57","0","8.9","1","C "
"21-03-2024","25.7","66","","8.7","1","C "
"22-03-2024","24.9","78","0","8.4","0","C "
"23-03-2024","25.7","78","17.3","3.9","0","C "
"24-03-2024","26","76","1","4.5","0","C "
"25-03-2024","24.4","85","1.2","6.7","0","C "
"26-03-2024","24.9","82","32.1","4","0","C "
"27-03-2024","24.3","84","18.8","3.5","0","C "
"28-03-2024","23.6","84","4.3","3","0","C "
"29-03-2024","24.3","83","54","4.2","0","C "
"30-03-2024","25.9","76","8.2","4.2","0","C "
"31-03-2024","26.1","73","8888","6.1","0","C "
"01-04-2024","24.8","81","0.4","6.8","0","C "
"02-04-2024","25.9","81","11.6","5.9","1","C "
"03-04-2024","25.4","81","5.6","6","0","C "
"04-04-2024","25.5","81","1.7","2.9","0","C "
"05-04-2024","27","72","3","4.9","1","C "
"06-04-2024","25.7","80","","4","0","C "
"07-04-2024","26.3","73","9","4.2","1","C "
"08-04-2024","26.4","72","","8.6","0","C "
"09-04-2024","24.3","83","3.8","4.7","0","C "
"10-04-2024","24.3","83","1.5","0","0","C "
"11-04-2024","24.9","83","11","4.4","0","C "
"12-04-2024","23.1","88","30.7","6.2","0","C "
"13-04-2024","26.1","75","20.8","2.5","0","C "
"14-04-2024","24.6","83","","5.8","0","C "
"15-04-2024","25.5","81","43.2","4.3","0","C "
"16-04-2024","26.3","75","0.3","4","0","C "
"17-04-2024","26.5","72","2.1","7.7","1","C "
"18-04-2024","26.2","68","8888","7.8","0","C "
"19-04-2024","24.4","79","0","7.4","0","C "
"20-04-2024","24.8","81","3.5","2.1","0","C "
"21-04-2024","24.2","84","1.1","2.4","0","C "
"22-04-2024","25.2","84","6.1","2.8","0","C "
"23-04-2024","24.7","84","15.4","5.4","0","C "
"24-04-2024","25.1","81","0.6","1.1","0","C "
"25-04-2024","24.8","85","1.9","1.1","0","C "
"26-04-2024","24.2","85","14.7","2.6","0","C "
"27-04-2024","24.4","84","19","3.2","0","C "
"28-04-2024","25.6","78","6.4","3.8","0","C "
"29-04-2024","26.7","75","8888","6.4","1","C "
"30-04-2024","25.9","80","","7.1","0","C "
