"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"05-03-2024","29.9","77","1.6","6.1","4","W "
"06-03-2024","29.5","80","8888","6.9","4","W "
"07-03-2024","29.5","79","0","8.3","4","W "
"08-03-2024","29.3","79","0","6.3","4","W "
"09-03-2024","25.3","94","1.4","0.4","1","C "
"10-03-2024","28.1","88","43.1","0","2","C "
"11-03-2024","28.4","86","9.5","0.6","4","NW"
"12-03-2024","28.9","83","1.9","0","3","W "
"13-03-2024","28.7","85","3.7","3.4","4","W "
"14-03-2024","27.6","87","0","1.2","2","NW"
"15-03-2024","27.5","85","23.7","0","3","W "
"16-03-2024","26.2","91","7","0.3","3","W "
"17-03-2024","27.2","86","17.5","1","4","SW"
"18-03-2024","28.8","82","15.7","3.4","3","SW"
"19-03-2024","29.8","74","1.5","6.9","4","SW"
"20-03-2024","29.9","74","0","9.5","4","SW"
"21-03-2024","29.3","82","0","9.8","2","W "
"22-03-2024","26.7","91","62.5","9.5","1","C "
"23-03-2024","29.9","80","23.4","0.3","1","C "
"24-03-2024","30.1","80","0","9.4","2","C "
"25-03-2024","29.7","81","8888","9.2","1","C "
"26-03-2024","30.6","77","0","5.5","3","NE"
"27-03-2024","28.5","84","0.3","5.9","1","C "
"28-03-2024","29.7","79","8888","0.5","1","C "
"29-03-2024","30","79","","6.7","2","NE"
"30-03-2024","29.9","81","0","6.5","2","C "
"31-03-2024","29.9","82","0","5.4","1","C "
"01-04-2024","30.1","81","0.4","6.3","1","C "
"02-04-2024","29.9","82","0","5.8","1","C "
"03-04-2024","29.1","84","","2.7","1","C "
"04-04-2024","30.7","78","8888","4.4","1","C "
"05-04-2024","30.7","80","0","7","2","W "
"06-04-2024","29.3","84","","4","1","C "
"07-04-2024","30.3","79","2.9","0","1","C "
"08-04-2024","30.3","76","0","6.8","2","SW"
"09-04-2024","28.7","84","0","7","1","C "
"10-04-2024","29.2","81","9","1.4","1","C "
"11-04-2024","29.3","84","","6.6","1","C "
"12-04-2024","28","88","74.5","6.3","1","C "
"13-04-2024","29.5","82","11.5","5.1","2","NE"
"14-04-2024","29.2","83","7","9.2","1","C "
"15-04-2024","30.6","78","0","5.4","3","NE"
"16-04-2024","30.9","80","0","8.6","2","NE"
"17-04-2024","29.3","83","","8.5","2","C "
"18-04-2024","29.9","79","7.5","8.1","2","C "
"19-04-2024","29.7","79","8","6.7","2","E "
"20-04-2024","30.2","79","0","4.5","3","E "
"21-04-2024","29.7","81","0.4","4.7","1","C "
"22-04-2024","31.1","77","8888","4.8","2","NE"
"23-04-2024","30.4","78","","9.1","1","C "
"24-04-2024","29.7","82","","8.7","2","C "
"25-04-2024","29.1","84","49","4.8","2","NE"
"26-04-2024","30.4","80","3.3","2.1","3","E "
"27-04-2024","29.9","81","0.2","","2","C "
"28-04-2024","30.2","82","3","5.9","2","E "
"29-04-2024","31.3","78","0","2.2","3","NE"
"30-04-2024","31.1","79","0","7.9","2","NE"
