"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"03-03-2024","25.5","91","57","3.5","2","C "
"04-03-2024","26.7","86","30.4","2.6","1","C "
"05-03-2024","26.9","88","0.7","4.3","2","C "
"06-03-2024","26.6","87","0.8","3.4","1","C "
"07-03-2024","26.6","88","40.2","5.4","2","C "
"08-03-2024","26.1","88","65.2","6.3","4","SW"
"09-03-2024","25","91","18.8","2.4","1","C "
"10-03-2024","26.9","88","4","0.5","1","C "
"11-03-2024","26.4","90","2","0.5","2","C "
"12-03-2024","26.4","86","10.7","0.8","2","C "
"13-03-2024","26.2","91","10.2","3.5","1","C "
"14-03-2024","25","92","27.3","0.5","2","C "
"15-03-2024","24.8","90","38.6","0","1","C "
"16-03-2024","25.2","89","13.9","0.1","2","C "
"17-03-2024","24.9","91","6.9","2.2","1","C "
"18-03-2024","26.7","82","9","1","2","C "
"19-03-2024","27.2","71","","5.6","2","C "
"20-03-2024","27.1","72","","9.7","1","C "
"21-03-2024","27.8","78","","10.1","3","C "
"22-03-2024","26.9","83","8888","9.7","2","C "
"23-03-2024","28.4","79","0","1.2","2","C "
"24-03-2024","27.4","84","3.3","5.7","2","C "
"25-03-2024","26.4","88","134","6.2","1","C "
"26-03-2024","26.6","86","27.8","4.8","1","C "
"27-03-2024","25.5","90","42.8","6.5","1","C "
"28-03-2024","27","82","1.1","0","1","C "
"29-03-2024","26.3","86","5.9","7.8","2","C "
"30-03-2024","26.9","89","72.5","6.9","1","C "
"31-03-2024","26.9","88","71.4","6.2","1","C "
"01-04-2024","26.5","87","39","6.1","1","C "
"02-04-2024","27.5","87","20.8","6.1","1","C "
"03-04-2024","26.5","90","37.5","5.1","1","C "
"04-04-2024","27.8","84","7.1","2.8","0","C "
"05-04-2024","28.5","78","1.3","6.4","1","C "
"06-04-2024","28","83","","3.4","1","C "
"07-04-2024","28","77","","5.3","2","C "
"08-04-2024","28.1","78","70.5","9.5","1","C "
"09-04-2024","27.3","83","","4.9","1","C "
"10-04-2024","27.5","82","0","3.2","1","C "
"11-04-2024","27.8","83","0.2","6.9","2","C "
"12-04-2024","25.7","92","20.1","8.9","1","C "
"13-04-2024","27.4","83","20.2","2.6","1","C "
"14-04-2024","26.7","88","40.9","7.5","1","C "
"15-04-2024","28.1","83","27.2","5.3","2","C "
"16-04-2024","28.6","80","0","6.5","1","C "
"17-04-2024","27.1","85","0.8","8.7","1","C "
"18-04-2024","26.8","86","42.1","6.2","1","C "
"19-04-2024","26.3","89","52.5","7.1","2","C "
"20-04-2024","27.9","81","24.4","4.3","1","C "
"21-04-2024","26.4","91","0","8.6","1","C "
"22-04-2024","28","82","1","1","1","C "
"23-04-2024","26.6","89","31.9","8.6","1","C "
"24-04-2024","27.2","88","73","2.6","2","C "
"25-04-2024","26.4","89","31","1.7","2","C "
"26-04-2024","27.1","87","71.9","2.2","2","C "
"27-04-2024","27.2","85","0.8","6.1","2","C "
"28-04-2024","27.5","86","0","5.5","2","C "
"29-04-2024","28.8","82","4","5.7","1","C "
"30-04-2024","27.9","84","0.1","7.9","2","C "
